building_id,orientation,facade_length,distance_to_camera,X,Y,RUN,FOTO,viewing_quality,midpoint_x,midpoint_y
182136877,N,19.644385071575297,6.954859238379135,605299.994,4962337.339,116,pano_000116_000012.jpg,0.9984781139219414,605297.8965810423,4962330.707944221
182136664,N,4.646439925878917,6.955543517214027,605214.415,4962368.611,116,pano_000116_000042.jpg,0.9997283964645639,605211.9250928299,4962362.116390858
182136662,N,5.827200083419667,6.958400461117403,605220.116,4962366.52,116,pano_000116_000040.jpg,0.9889741954379025,605216.8619003221,4962360.36937627
179422589,N,8.065555814634806,6.972781013186247,603741.073,4959588.379,82,pano_000082_000062.jpg,0.9640597449816718,603735.8594164535,4959583.748857275
182136815,N,11.153841025196446,6.974127537874366,605205.858,4962371.712,116,pano_000116_000045.jpg,0.9859234204546571,605204.519729262,4962364.867477639
1380916836,N,14.129542660363247,6.975609153359667,602914.996,4961977.867,18,pano_000018_000092.jpg,0.9825778135917707,602911.6669712788,4961971.737017062
179423328,N,9.01778804975318,6.982086638675337,603567.656,4959591.773,84,pano_000084_000013.jpg,0.9983310257794821,603564.3774769244,4959585.608519465
182137728,N,4.268184572718231,6.987383767066602,605188.804,4962378.114,116,pano_000116_000051.jpg,0.9934388121026982,605185.6142868828,4962371.897146926
182138186,N,19.09750338946672,6.998701152507995,605173.017,4962341.63,117,pano_000117_000048.jpg,0.9850769076532635,605171.1988180073,4962334.871595451
182137941,N,6.723238876107353,7.016415995661877,605180.237,4962381.316,116,pano_000116_000054.jpg,0.9880777132464997,605176.8317812656,4962375.181297171
179423910,S,15.003592018075071,7.02053790546188,603426.883,4959375.7,75,pano_000075_000000.jpg,0.910370179888158,603431.7700318156,4959380.740324643
182137955,N,3.873488510910352,7.021658739422209,605174.531,4962383.524,116,pano_000116_000056.jpg,0.9996434893387296,605171.8656830522,4962377.027864455
182137940,N,3.880839459060689,7.033863890140167,605183.083,4962380.251,116,pano_000116_000053.jpg,0.9840713402651331,605181.8018356322,4962373.334797351
182136607,N,13.489700102840736,7.037213883551425,605316.643,4962330.243,116,pano_000116_000006.jpg,0.993303888752634,605313.1119913978,4962324.155770952
179588447,E,13.339040918651058,7.0573809152063784,602811.988,4961960.992,22,pano_000022_000016.jpg,0.9999279598943646,602805.2817713207,4961963.190436328
1263414131,N,12.960023271985731,7.067886126739031,602731.299,4961836.452,23,pano_000023_000003.jpg,0.992630021091845,602730.0658854605,4961829.492514183
179475080,N,4.771561095518985,7.070500393747903,603664.066,4959700.43,83,pano_000083_000015.jpg,0.9862014911085171,603661.2806955453,4959693.9312266605
182138018,N,14.585665925750593,7.089611505010373,605303.873,4962099.525,95,pano_000095_000068.jpg,0.963325810870086,605299.6284082518,4962093.846441012
179588955,N,15.78357093306971,7.096661752694343,602783.526,4961820.302,23,pano_000023_000021.jpg,0.9847180237888715,602780.2730277089,4961813.994799407
182136600,N,7.540268184765651,7.1003522488107285,605168.904,4962385.718,116,pano_000116_000058.jpg,0.999903194605363,605166.5213258332,4962379.029362929
179469549,N,8.501058650177566,7.118552998108309,603798.804,4959662.739,80,pano_000080_000064.jpg,0.9666766568887963,603793.9806264605,4959657.5036524
1380916871,W,15.440083459324915,7.123949099058984,602773.029,4961841.944,22,pano_000022_000057.jpg,0.9907079137384807,602779.5134480272,4961838.99398567
182138240,N,7.872038583022583,7.135606890787971,605157.615,4962389.946,116,pano_000116_000062.jpg,0.9998544665573846,605155.2402986144,4962383.2171309255
182137761,E,4.834066887804579,7.1379353539251476,605266.738,4962093.578,96,pano_000096_000010.jpg,0.8925208336075037,605260.7333722874,4962097.437348021
179585655,E,6.696130451643434,7.1426152133359375,602846.035,4962059.664,18,pano_000018_000141.jpg,0.9926170377805219,602839.0542417658,4962061.175941322
182138083,N,4.327097697732693,7.161150199729383,605163.281,4962387.868,116,pano_000116_000060.jpg,0.9997175111697328,605160.9584120393,4962381.093957091
179590238,E,4.9974434171845585,7.168668655944655,602783.594,4962025.974,24,pano_000024_000019.jpg,0.9089684258085473,602776.4651834441,4962025.219159078
179470586,N,7.803362503737485,7.170444392970092,603732.05,4959710.943,80,pano_000080_000037.jpg,0.99955070778154,603728.3405385856,4959704.806619242
